titulo,precio,link
iPhone 8 64 GB oro,5399,https://www.mercadolibre.com.mx/iphone-8-64-gb-oro/p/MLM8752430?pdp_filters=category:MLM1055#searchVariation=MLM8752430&position=1&search_layout=stack&type=product&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 64 GB plata,5499,https://www.mercadolibre.com.mx/iphone-8-64-gb-plata/p/MLM8752431?pdp_filters=category:MLM1055#searchVariation=MLM8752431&position=2&search_layout=stack&type=product&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 Plus 64 GB plata,8499,https://www.mercadolibre.com.mx/iphone-8-plus-64-gb-plata/p/MLM8752452?pdp_filters=category:MLM1055#searchVariation=MLM8752452&position=3&search_layout=stack&type=product&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 Plus 64 GB (product)red,9999,https://www.mercadolibre.com.mx/iphone-8-plus-64-gb-productred/p/MLM14668241?pdp_filters=category:MLM1055#searchVariation=MLM14668241&position=4&search_layout=stack&type=product&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 64 GB (product)red,5499,https://www.mercadolibre.com.mx/iphone-8-64-gb-productred/p/MLM14668232?pdp_filters=category:MLM1055#searchVariation=MLM14668232&position=5&search_layout=stack&type=product&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 Plus 256 GB oro,9999,https://www.mercadolibre.com.mx/iphone-8-plus-256-gb-oro/p/MLM8752454?pdp_filters=category:MLM1055#searchVariation=MLM8752454&position=6&search_layout=stack&type=product&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 Plus 64 GB oro,11799,https://www.mercadolibre.com.mx/iphone-8-plus-64-gb-oro/p/MLM8752451?pdp_filters=category:MLM1055#searchVariation=MLM8752451&position=7&search_layout=stack&type=product&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 Plus 64 GB gris espacial,7599,https://www.mercadolibre.com.mx/iphone-8-plus-64-gb-gris-espacial/p/MLM8752453?pdp_filters=category:MLM1055#searchVariation=MLM8752453&position=8&search_layout=stack&type=product&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 Plus 256 GB gris espacial,8465,https://www.mercadolibre.com.mx/iphone-8-plus-256-gb-gris-espacial/p/MLM8752456?pdp_filters=category:MLM1055#searchVariation=MLM8752456&position=9&search_layout=stack&type=product&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 64 GB gris espacial,4999,https://www.mercadolibre.com.mx/iphone-8-64-gb-gris-espacial/p/MLM8752432?pdp_filters=category:MLM1055#searchVariation=MLM8752432&position=10&search_layout=stack&type=product&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 7 256 GB plata,6999,https://www.mercadolibre.com.mx/iphone-7-256-gb-plata/p/MLM6240125?pdp_filters=category:MLM1055#searchVariation=MLM6240125&position=11&search_layout=stack&type=product&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 256 Gb Color Plata,30000,https://articulo.mercadolibre.com.mx/MLM-898145126-iphone-8-256-gb-color-plata-_JM_NoIndex_True?searchVariation=79999679088#searchVariation=79999679088&position=12&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
Apple iPhone 8 Plus 64 Gb Gris Espacial Msi,7599,https://articulo.mercadolibre.com.mx/MLM-896968121-apple-iphone-8-plus-64-gb-gris-espacial-msi-_JM_NoIndex_True?searchVariation=79756363199#searchVariation=79756363199&position=13&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 Plus 64 Gb Rojo Envío Gratis Garantía Original,9499,https://articulo.mercadolibre.com.mx/MLM-875656701-iphone-8-plus-64-gb-rojo-envio-gratis-garantia-original-_JM_NoIndex_True?searchVariation=76326856723#searchVariation=76326856723&position=14&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
||$6000|| iPhone 8 Plus 256 Gb Oro Promocion,6000,https://articulo.mercadolibre.com.mx/MLM-945829116-6000-iphone-8-plus-256-gb-oro-promocion-_JM_NoIndex_True?searchVariation=91073584665#searchVariation=91073584665&position=15&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 Plus 64 Gb Nuevo Envío Gratis Garantía Acces Orig,9499,https://articulo.mercadolibre.com.mx/MLM-749642358-iphone-8-plus-64-gb-nuevo-envio-gratis-garantia-acces-orig-_JM_NoIndex_True?searchVariation=76137049239#searchVariation=76137049239&position=16&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 Plus 64 Gb Rojo Nuevo Acces Orig Envio Gratis Meses,9999,https://articulo.mercadolibre.com.mx/MLM-875664309-iphone-8-plus-64-gb-rojo-nuevo-acces-orig-envio-gratis-meses-_JM_NoIndex_True?searchVariation=76327029756#searchVariation=76327029756&position=17&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
Celular Apple iPhone 8 Plus 256gb Original Garantía Msi Full,8465,https://articulo.mercadolibre.com.mx/MLM-760688892-celular-apple-iphone-8-plus-256gb-original-garantia-msi-full-_JM_NoIndex_True?searchVariation=51664120082#searchVariation=51664120082&position=18&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 64 Gb Nuevo Acces Originales A Meses Garantía,5579,https://articulo.mercadolibre.com.mx/MLM-666203579-iphone-8-64-gb-nuevo-acces-originales-a-meses-garantia-_JM_NoIndex_True?searchVariation=50717773958#searchVariation=50717773958&position=19&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
Apple Seminuevo iPhone 8 Plus 64gb Negro,9299,https://articulo.mercadolibre.com.mx/MLM-864414760-apple-seminuevo-iphone-8-plus-64gb-negro-_JM_NoIndex_True?searchVariation=73377571461#searchVariation=73377571461&position=20&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 Plus 64 Gb Gris Espacial Reacondicionado,7849,https://articulo.mercadolibre.com.mx/MLM-903707882-iphone-8-plus-64-gb-gris-espacial-reacondicionado-_JM_NoIndex_True?searchVariation=81307785363#searchVariation=81307785363&position=21&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
Apple iPhone 8 256 Plata,8999,https://articulo.mercadolibre.com.mx/MLM-905249103-apple-iphone-8-256-plata-_JM_NoIndex_True?searchVariation=81592494492#searchVariation=81592494492&position=22&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 64gb Negro Apple Libre De Fabrica Full,4627,https://articulo.mercadolibre.com.mx/MLM-915297869-iphone-8-64gb-negro-apple-libre-de-fabrica-full-_JM_NoIndex_True?searchVariation=83580152638#searchVariation=83580152638&position=23&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 Plus 64 Gb Plata,7199,https://articulo.mercadolibre.com.mx/MLM-943391917-iphone-8-plus-64-gb-plata-_JM_NoIndex_True?searchVariation=90549644256#searchVariation=90549644256&position=24&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 Plus 64 Gb Gris Espacial,7249,https://articulo.mercadolibre.com.mx/MLM-871443632-iphone-8-plus-64-gb-gris-espacial-_JM_NoIndex_True?searchVariation=75276914403#searchVariation=75276914403&position=25&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
Apple iPhone 8 64gb Desbloqueado Original,6599,https://articulo.mercadolibre.com.mx/MLM-814828639-apple-iphone-8-64gb-desbloqueado-original-_JM_NoIndex_True?searchVariation=63611263235#searchVariation=63611263235&position=26&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 64gb Plata Apple Libre De Fabrica Full,4627,https://articulo.mercadolibre.com.mx/MLM-915291682-iphone-8-64gb-plata-apple-libre-de-fabrica-full-_JM_NoIndex_True?searchVariation=83580658644#searchVariation=83580658644&position=27&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
Apple iPhone 8 64gb Libre De Fabrica 4g Lte,4729,https://articulo.mercadolibre.com.mx/MLM-779889081-apple-iphone-8-64gb-libre-de-fabrica-4g-lte-_JM_NoIndex_True?searchVariation=56861174917#searchVariation=56861174917&position=28&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 64gb Rosa Apple Libre De Fabrica Full,4627,https://articulo.mercadolibre.com.mx/MLM-915298700-iphone-8-64gb-rosa-apple-libre-de-fabrica-full-_JM_NoIndex_True?searchVariation=83580541980#searchVariation=83580541980&position=29&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 64 Gb Oro Libre De Fabrica,4729,https://articulo.mercadolibre.com.mx/MLM-878060171-iphone-8-64-gb-oro-libre-de-fabrica-_JM_NoIndex_True?searchVariation=76878564972#searchVariation=76878564972&position=30&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 256gb Rosa Apple Liberado Original Msi,6297,https://articulo.mercadolibre.com.mx/MLM-917254096-iphone-8-256gb-rosa-apple-liberado-original-msi-_JM_NoIndex_True?searchVariation=83979387612#searchVariation=83979387612&position=31&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
iPhone 8 Plus 64 Gb Nunca Usado Desbloqueado Por Software,9999,https://articulo.mercadolibre.com.mx/MLM-854791520-iphone-8-plus-64-gb-nunca-usado-desbloqueado-por-software-_JM_NoIndex_True?searchVariation=71470853271#searchVariation=71470853271&position=32&search_layout=stack&type=item&tracking_id=149aaef6-bd62-4520-b149-b9a4b6151b58
